district,latitude,longitude,elevation,terrain_risk,cluster
Godda,24.829078,87.215924,91,2,14
Golaghat,26.509522,93.974001,101,1,5
Gonda,27.133796,81.962471,109,1,19
Gondiya,21.448734,80.1972,313,0,6
Gopalganj,26.465323,84.444294,72,2,16
Gorakhpur,26.759828,83.370935,83,2,19
Gulbarga,17.334962,76.834784,465,0,0
Gumla,23.026635,84.534374,653,0,4
Guna,24.644351,77.313136,477,0,7
Guntur,16.297356,80.447394,32,2,21
Gurdaspur,32.045131,75.408744,264,1,18
Gurgaon,28.466248,77.028569,225,1,2
Gwalior,26.222524,78.168463,233,1,15
Hailakandi,24.709416,92.568191,24,2,17
Hamirpur,31.672705,76.521404,750,0,18
Hamirpur,25.959941,80.117055,107,1,15
Hanumangarh,29.577336,74.320427,183,1,18
Haora,22.567906,88.327811,6,2,14
Harda,22.336719,77.085484,286,1,7
Hardoi,27.395551,80.127149,145,1,15
Hardwar,29.919595,78.162848,278,1,23
Hassan,13.008913,76.098149,952,0,22
Hathras,27.585241,78.05918,179,1,2
Haveri,14.810215,75.407562,562,0,12
Hazaribagh,23.988567,85.36671,615,0,4
Hingoli,19.713154,77.153409,457,0,0
Hisar,29.151765,75.725027,213,1,2
Hoshangabad,22.740101,77.713729,304,0,7
Hoshiarpur,31.535053,75.914418,305,0,18
Hugli,22.900631,88.396631,12,2,14
Hyderabad,17.399667,78.488244,507,0,0
Hyderabad,17.399667,78.488244,507,0,0
Idukki,9.900515,77.176271,1066,0,3
Imphal,24.811571,93.950799,783,0,17
Indore,22.716881,75.867271,553,0,7
Jabalpur,23.172246,79.937619,406,0,6
Jagatsinghapur,20.26385,86.166024,13,2,8
Jaintia Hills,25.438113,92.198261,1321,0,17
Jaipur,26.914736,75.810664,439,0,2
Jaisalmer,26.911481,70.91459,237,1,13
Jajapur,20.844687,86.32523,15,2,8
Jalandhar,31.339673,75.581698,239,1,18
Jalaun,25.989945,79.454191,139,1,15
Jalgaon,21.009559,75.570044,218,1,7
Jalna,19.848844,75.901627,505,0,0
Jalor,25.342919,72.620614,247,1,13
Jalpaiguri,26.527845,88.719039,85,2,20
Jammu,32.727401,74.8456,308,0,11
Jamnagar,22.471076,70.07265,18,2,13
Jamtara,23.959798,86.788385,191,1,14
Jamui,24.925934,86.216344,83,2,16
Janjgir,22.003783,82.594618,268,1,6
Jashpur,22.892329,84.158393,761,0,4
Jaunpur,25.748744,82.687741,80,2,19
Jehanabad,25.212198,84.982009,67,2,16
Jhabua,22.769906,74.599553,324,0,7
Jhajjar,28.601349,76.6536,215,1,2
Jhalawar,24.592312,76.165807,312,0,7
Jhansi,25.462975,78.57546,243,1,15
Jharsuguda,21.851989,84.025951,224,1,8
Jhunjhunun,28.129504,75.400108,338,0,2
Jind,29.318821,76.313347,226,1,2
Jodhpur,26.279624,73.022778,241,1,13
Jorhat,26.754666,94.218519,94,2,5
Junagadh,21.522705,70.461296,98,2,24
Jyotiba Phule Nagar,28.906416,78.462509,216,1,23
Kachchh,23.251213,69.666108,99,2,13
Kaimur,25.040295,83.602718,84,2,19
Kaithal,29.804185,76.399321,237,1,18
Kalahandi,19.910373,83.176494,261,1,8
Kamrup,26.181061,91.751916,59,2,17
Kancheepuram,12.834822,79.715697,83,2,10
Kandhamal,20.467657,84.240574,503,0,8
Kangra,32.217751,76.31406,1291,0,11
Kanker,20.275167,81.50583,402,0,6
Kannauj,27.056124,79.926694,133,1,15
Kanniyakumari,8.175865,77.440953,27,2,3
Kannur,11.868687,75.36639,15,2,22
Kanpur Dehat,26.375967,79.955267,132,1,15
Kanpur Nagar,26.461855,80.344194,132,1,15
Kapurthala,31.379585,75.385678,226,1,18
Karaikal,10.917964,79.837646,3,2,3
Karauli,26.4987,77.022184,273,1,2
Karbi Anglong,25.838215,93.446934,199,1,17
Karimganj,24.871588,92.353828,22,2,17
Karimnagar,18.431912,79.144791,263,1,0
Karnal,29.692495,76.985142,251,1,18
Karur,10.948948,78.086832,123,1,3
Kasaragod,12.498305,74.990213,18,2,22
Kathua,32.359369,75.516357,313,0,11
Katihar,25.537374,87.583497,32,2,20
Katni,23.841092,80.397878,380,0,6
Kaushambi,25.524545,81.383437,104,1,19
Kawardha,22.006266,81.259515,338,0,6
Kendrapara,20.508399,86.417262,6,2,8
Kendujhar,21.644926,85.583459,482,0,8
Khagaria,25.508751,86.472735,41,2,16
Khammam,17.245344,80.140567,116,1,21
Kheda,22.747316,72.695273,26,2,13
Kheri,27.947796,80.788432,147,1,23
Khordha,20.187781,85.622131,44,2,8
Kinnaur,31.546954,78.26285,2589,0,18
Kishanganj,26.112966,87.9283,50,2,20
Koch Bihar,26.328292,89.453617,45,2,20
Kodagu,12.422433,75.744027,1152,0,22
Kodarma,24.463,85.587047,386,0,4
Kohima,25.684924,94.118903,1410,0,5
Kokrajhar,26.40281,90.273819,47,2,20
Kolar,13.135759,78.136263,835,0,10
Kolasib,24.252182,92.690303,364,0,17
Kolhapur,16.694394,74.22406,559,0,12
Kolkata,22.548783,88.39894,5,2,14
Kollam,8.888392,76.609021,18,2,3
Koppal,15.362997,76.167916,539,0,12
Koraput,18.80694,82.719909,875,0,21
Korba,22.337193,82.715651,288,1,6
Koriya,23.244843,82.570516,538,0,4
Kota,25.179993,75.846204,263,1,7
Kottayam,9.595602,76.521426,12,2,3
Kozhikode,11.239895,75.795215,14,2,22
Krishna,16.189204,81.136184,9,2,21
Krishnagiri,12.533802,78.228528,512,0,10
Kullu,31.960573,77.107897,1454,0,18
Kurnool,15.834985,78.041533,283,1,10
Kurukshetra,29.962444,76.838151,256,1,18
Kurung Kumey,27.861258,93.499644,985,0,5
Kushinagar,26.907172,83.985134,88,2,19
Lahul & Spiti,32.574709,77.040806,3458,0,11
Lakhimpur,27.236148,94.105136,93,2,5
Lakhisarai,25.176411,86.090783,47,2,16
Lakshdweep,10.568609,72.640306,-7,2,22
Lalitpur,24.691585,78.418609,357,0,15
Latehar,23.75162,84.509376,406,0,4
Latur,18.401122,76.576955,629,0,0
Leh,34.138736,77.565158,3322,0,11
Lohardaga,23.432486,84.681568,659,0,4
Lohit,27.925439,96.166869,221,1,5
Lower Dibang Valley,28.1375,95.798781,289,1,5
Lower Subansiri,27.5556,93.812343,1661,0,5
Lucknow,26.83323,80.943614,123,1,15
Ludhiana,30.908679,75.851626,249,1,18
Lunglei,22.888359,92.746609,921,0,17
Madhepura,25.921099,86.792579,47,2,16
Madhubani,26.356596,86.070431,59,2,16
Madurai,9.924937,78.129356,137,1,3
Maharajganj,27.146858,83.567801,93,2,19
Mahasamund,21.09393,82.111104,291,1,6
Mahbubnagar,16.744426,77.991612,505,0,0
Mahendragarh,28.045836,76.11006,307,0,2
Mahesana,23.60274,72.385689,89,2,13
Mahoba,25.286105,79.880627,210,1,15
Mainpuri,27.229325,79.049369,158,1,15
Malappuram,11.043786,76.085683,51,2,22
Maldah,25.010231,88.147599,28,2,20
Malkangiri,18.357914,81.897509,203,1,21
Mamit,23.942233,92.499553,541,0,17
Mandi,31.711956,76.932031,840,0,18
Mandla,22.605889,80.370917,447,0,6
Mandsaur,24.063675,75.074883,435,0,7
Mandya,12.517368,76.898666,679,0,22
Mansa,29.986894,75.390143,219,1,18
Marigaon,26.255106,92.337553,61,2,17
Mathura,27.494256,77.684411,177,1,2
Mau,25.947961,83.561419,73,2,19
Mayurbhanj,21.944929,86.725858,41,2,14
Medak,17.625811,78.082342,515,0,0
Meerut,28.986554,77.70386,227,1,23
Mirzapur,25.143896,82.562668,81,2,19
Moga,30.801361,75.162775,221,1,18
Mokokchung,26.321208,94.519572,1135,0,5
Mon,26.723923,95.031768,666,0,5
Moradabad,28.832848,78.780652,202,1,23
Morena,26.500863,78.001752,176,1,15
Muktsar,30.463978,74.517016,199,1,18
Mumbai,18.987074,72.830007,8,2,24
Mumbai (Suburban),19.054135,72.832678,4,2,24
Munger,25.37403,86.47675,48,2,16
Murshidabad,24.100513,88.278789,21,2,14
Muzaffarnagar,29.471716,77.700412,247,1,23
Muzaffarpur,26.117382,85.406908,58,2,16
Mysore,12.309442,76.654533,752,0,22
Nabarangapur,19.224792,82.557829,568,0,21
Nadia,23.418592,88.504458,14,2,14
Nagaon,26.355771,92.686525,68,2,17
Nagapattinam,10.770587,79.834871,3,2,3
Nagaur,27.200302,73.736974,297,1,2
Nagpur,21.148204,79.096814,310,0,6
Nainital,29.380565,79.470524,1922,0,23
Nalanda,25.194764,85.521417,59,2,16
Nalbari,26.444776,91.445234,53,2,20
Nalgonda,17.061325,79.267503,245,1,21
Namakkal,11.225821,78.171836,195,1,3
Nanded,19.159314,77.313188,363,0,0
Nandurbar,21.36675,74.244736,215,1,24
Narmada,21.875823,73.499823,35,2,24
Narsimhapur,22.948386,79.193312,357,0,6
Nashik,20.006006,73.795878,580,0,24
Navsari,20.948755,72.925226,12,2,24
Nawada,24.887955,85.543198,88,2,16
Nawanshahr,31.120012,76.130554,258,1,18
Nayagarh,20.120189,85.098925,148,1,8
Neemuch,24.473691,74.876342,488,0,7
Nellore,14.449206,79.983616,22,2,10
Nizamabad,18.654235,78.09389,389,0,0
North,27.50395,88.536203,1171,0,1
North Cachar Hills,25.167627,93.015884,630,0,17
North Goa,15.480081,73.822329,12,2,12
North Tripura,24.342116,92.017914,32,2,17
North 24 Parganas,22.724797,88.507529,10,2,14
Nuapada,20.819327,82.555776,344,0,6
Osmanabad,18.181663,76.041686,656,0,0
Pachim Sionghum,22.554553,85.808737,229,1,14
Pakaur,24.635842,87.834711,41,2,14
Palakkad,10.772089,76.658319,91,2,3
Palamu,24.040242,84.069328,225,1,4
Pali,25.777043,73.322215,216,1,13
Panch Mahals,22.772915,73.60953,123,1,13
Panchkula,30.722619,76.880191,387,0,18
Panipat,29.387951,76.968552,236,1,2
Panna,24.719464,80.189266,410,0,15
Papum Pare,27.101465,93.597901,372,0,5
Parbhani,19.268358,76.777025,418,0,0
Paschim Medinapur,22.42833,87.323882,44,2,14
Paschim Champaran,26.804014,84.510335,78,2,16
Patan,23.845103,72.111466,81,2,13
Pathanamthitta,9.294782,76.75528,77,2,3
Patiala,30.317367,76.407038,252,1,18
Patna,25.603125,85.119195,57,2,16
Perambalur,11.243109,78.866417,132,1,3
Phek,25.701797,94.465739,1323,0,5
Pilibhit,28.634994,79.812128,188,1,23
Pithoragarh,29.583696,80.203698,1578,0,23
Pondicherry,11.935363,79.83229,6,2,10
Porbandar,21.636581,69.59674,0,2,24
Prakasam,15.514451,80.048738,12,2,21
Pratapgarh,25.93741,81.995137,94,2,19
Pudukkottai,10.383944,78.81216,99,2,3
Punch,33.773791,74.081247,1009,0,11
Pune,18.525994,73.862602,556,0,24
Purba Champaran,26.653574,84.925161,69,2,16
Purba Medinapur,22.301044,87.919817,6,2,14
East Singbhum,22.799522,86.197389,159,1,14
Puri,19.79549,85.838807,4,2,8
Purnia,25.777226,87.47066,41,2,20
Puruliya,23.332193,86.366718,246,1,14
Rae Bareli,26.231689,81.230631,114,1,19
Raichur,16.207752,77.358779,406,0,12
Raigarh,21.908949,83.395958,222,1,4
Raigarh,18.646539,72.875994,4,2,24
Raipur,21.227374,81.629069,295,1,6
Raisen,23.33011,77.780588,451,0,7
Rajgarh,24.005868,76.739744,378,0,7
Rajkot,22.295207,70.805355,133,1,13
Rajnandgaon,21.089426,81.034625,304,0,6
Rajsamand,25.075336,73.860393,565,0,13
Ramanathapuram,9.363516,78.840969,9,2,3
Rampur,28.791807,79.029148,191,1,23
Ranchi,23.363068,85.340321,635,0,4
Ratlam,23.327034,75.040755,484,0,7
Ratnagiri,16.990597,73.297537,21,2,12
Rayagada,19.165286,83.412105,223,1,8
Rewa,24.540725,81.288305,300,0,15
Rewari,28.198138,76.615433,247,1,2
Ri Bhoi,25.915944,91.88132,589,0,17
Rohtak,28.888214,76.587935,223,1,2
Rohtas,24.92088,84.039698,154,1,4
Rudraprayag,30.29541,78.986665,817,0,23
Rupnagar,30.964466,76.526375,275,1,18
Sabar Kantha,23.605115,72.96492,142,1,13
Sagar,23.837188,78.749867,530,0,15
Saharanpur,29.965049,77.553476,277,1,18
Saharsa,25.872235,86.59889,45,2,16
Sahibganj,25.244524,87.632966,44,2,20
Saiha,22.513447,92.979389,733,0,17
Salem,11.65821,78.152968,284,1,10
Samastipur,25.846512,85.779185,49,2,16
Sambalpur,21.466623,83.986047,159,1,8
Sangli,16.860757,74.57878,553,0,12
Sangrur,30.241479,75.841924,237,1,18
Sant Kabir Nagar,26.778133,83.086966,80,2,19
Sant Ravidas Nagar,25.335702,82.46387,88,2,19
Saraikela,22.715002,85.939556,183,1,14
Saran,25.777293,84.751385,56,2,16
Satara,17.690393,74.010744,689,0,12
Satna,24.566488,80.833433,318,0,15
Sawai Madhopur,25.987844,76.381194,318,0,2
Sehore,23.206208,77.085006,499,0,7
Senapati,25.302888,94.048471,1163,0,17
Seoni,22.088143,79.548337,617,0,6
Serchhip,23.3256,92.864991,798,0,17
Shahdol,23.294345,81.360684,464,0,6
Shahjahanpur,27.871092,79.908609,153,1,23
Shajapur,23.423091,76.280682,445,0,7
Sheikhpura,25.147495,85.839471,48,2,16
Sheohar,26.514445,85.29636,66,2,16
Sheopur,25.676035,76.698332,229,1,2
Shimla,31.10003,77.171181,2056,0,18
Shimoga,13.930893,75.576068,582,0,12
Shivpuri,25.42602,77.653283,468,0,15
Shrawasti,27.700545,81.931928,121,1,19
Sibsagar,26.984297,94.639508,95,2,5
Siddharthnagar,27.246253,83.066141,87,2,19
Sidhi,24.409558,81.883792,278,1,19
Sikar,27.610617,75.147048,433,0,2
Simdega,22.615172,84.502538,432,0,4
Sindhudurg,16.107985,73.714977,28,2,12
Sirmaur,30.525617,77.230732,438,0,18
Sirohi,24.89138,72.857774,317,0,13
Sirsa,29.531177,75.026343,203,1,18
Sitamarhi,26.59391,85.496766,68,2,16
Sitapur,27.563585,80.686343,139,1,15
Sivaganga,9.860311,78.481581,102,1,3
Siwan,26.22132,84.361494,67,2,16
Solan,30.910522,77.108405,1499,0,18
Solapur,17.672099,75.907906,471,0,0
Sonbhadra,24.687697,83.069029,315,0,4
Sonipat,28.979449,77.024728,222,1,2
Sonitpur,26.623221,92.791733,72,2,17
South,27.163151,88.359601,1274,0,1
South 24 Parganas,22.484754,88.265534,6,2,14
South Garo Hills,25.200104,90.645557,64,2,20
South Goa,15.304936,73.959411,31,2,12
South Tripura,23.53045,91.485363,26,2,17
Srikakulam,18.296866,83.891833,12,2,8
Srinagar,34.083627,74.810746,1587,0,11
Sultanpur,26.262349,82.073784,96,2,19
Sundargarh,22.128217,84.048498,236,1,4
Supaul,26.246247,86.644513,58,2,16
Surat,21.205128,72.847119,15,2,24
Surendranagar,22.732978,71.614645,75,2,13
Surguja,23.118939,83.207362,607,0,4
Tamenglong,24.996325,93.502375,1030,0,17
Tawang,27.587899,91.885444,2605,0,5
Tehri Garhwal,30.376102,78.498598,982,0,23
Thane,19.205931,72.971198,18,2,24
Thanjavur,10.785111,79.138403,55,2,3
The Dangs,20.756817,73.689483,436,0,24
The Nilgiris,11.415521,76.705867,2300,0,22
Theni,9.999588,77.464364,301,0,3
Thiruvallur,13.153773,79.915219,39,2,10
Thiruvananthapuram,8.490191,76.917805,10,2,3
Thiruvarur,10.780886,79.626455,13,2,3
Thoothukkudi,8.810166,78.148882,7,2,3
Thoubal,24.637889,94.006052,778,0,17
Thrissur,10.522671,76.21865,13,2,3
Tikamgarh,24.743252,78.831962,355,0,15
Tinsukia,27.49208,95.370027,124,1,5
Tirap,26.991189,95.50663,841,0,5
Tiruchirapalli,10.82225,78.681043,74,2,3
Tirunelveli,8.730059,77.692464,43,2,3
Tiruvannamalai,12.233386,79.07432,209,1,10
Tonk,26.171361,75.788097,280,1,2
Tuensang,26.229854,94.814512,1508,0,5
Tumkur,13.353655,77.096527,812,0,10
Udaipur,24.585424,73.686924,590,0,13
Udham Singh Nagar,28.966203,79.396914,211,1,23
Udhampur,32.91258,75.108491,680,0,11
Udupi,13.359567,74.759237,26,2,22
Ujjain,23.185696,75.779601,492,0,7
Ukhrul,25.091234,94.363891,1731,0,17
Umaria,23.525654,80.837774,456,0,6
Una,31.46426,76.268458,375,0,18
Unnao,26.545632,80.489814,128,1,15
Upper Siang,28.613345,95.066152,898,0,5
Upper Subansiri,28.029687,94.216858,720,0,5
Uttar Dinajpur,25.609131,88.125952,35,2,20
Uttara Kannada,14.804209,74.131214,47,2,12
Uttarkashi,30.715986,78.430542,1466,0,23
Vadodara,22.287726,73.206027,36,2,24
Vaishali,25.676599,85.219298,53,2,16
Valsad,20.631227,72.933378,8,2,24
Varanasi,25.325043,82.975165,80,2,19
Vellore,12.909641,79.139241,255,1,10
Vidisha,23.531456,77.812138,424,0,7
Viluppuram,11.936979,79.487333,47,2,10
Virudhunagar,9.594003,77.952743,101,1,3
Visakhapatnam,17.724253,83.305865,29,2,21
Vizianagaram,18.124612,83.406912,66,2,21
Warangal,18.030289,79.57543,255,1,21
Wardha,20.735221,78.604456,281,1,0
Washim,20.108935,77.142117,550,0,0
Wayanad,11.606117,76.088347,812,0,22
West Sikkim,27.290085,88.244703,1442,0,1
West Garo Hills,25.505214,90.280827,957,0,20
West Godavari,16.719836,81.100761,18,2,21
West Kameng,27.264281,92.425854,2468,0,5
West Khasi Hills,25.518083,91.269445,1361,0,17
West Nimar,21.825248,75.61635,255,1,7
West Siang,28.168599,94.80047,266,1,5
West Tripura,23.827795,91.274175,17,2,17
Wokha,26.0917,94.258877,1383,0,5
Yamunanagar,30.30369,77.307789,304,0,18
Yanam,16.734771,82.213971,7,2,21
Yavatmal,20.3876,78.131472,452,0,0
Zunheboto,26.009562,94.521241,1639,0,5
Rangareddi,17.3891,77.8367,602,0,0
Vishakhapatnam,17.724,82.7347,113,1,21
Golapara,26.0876,90.5636,49,2,20
Bastar,19.1071,81.9535,544,0,21
Badgam,33.9349,74.64,2098,0,11
Doda,33.0469,75.6208,1472,0,11
Kargil,34.262,76.2711,4815,0,11
Kupwara,34.4319,74.124,1984,0,11
Pulwama,33.9819,75.0144,2030,0,11
Rajauri,33.3717,74.3153,950,0,11
West Singbhum,22.3651,85.4376,358,0,4
Bangalore Rural,13.2847,77.6078,920,0,10
Chikmangalur,13.4045,75.6208,1051,0,22
Davanagere,14.3318,75.9928,604,0,12
Imphal East,24.7807,93.9674,779,0,17
Imphal West,24.7828,93.8859,780,0,17
Aizwal,23.8789,92.8976,627,0,17
Lawngtlai,22.3114,92.6984,332,0,17
Sonapur,20.9338,83.8049,122,1,8
North Sikkim,27.8236,88.5565,3679,0,1
South Sikkim,27.2858,88.3946,1360,0,1
Ariyalur,11.2399,79.2902,80,2,3
Bulandshahar,28.4215,78.0195,202,1,23
Siddharth Nagar,27.2716,82.821,89,2,19
Burdwan,23.4595,87.6186,67,2,14
Cooch Behar,26.3234,89.3227,48,2,20
South Dinajpur,25.3715,88.5565,29,2,20
Darjeeling,26.9287,88.3628,1037,0,1
Howrah,22.5604,88.051,7,2,14
Hooghly,22.8963,88.2461,9,2,14
Malda,25.1786,88.2461,35,2,20
Midnapore,22.408,87.3811,27,2,14
Purulia,23.3322,86.3616,247,1,14
North Dinajpur,25.981,88.051,47,2,20
New Delhi,28.6139,77.209,219,1,2
Andaman,10.7449,92.5,51,2,9
