district,latitude,longitude,elevation,rainfall_mm,readiness_score,status
Bhiwani,28.791052,76.143875,217,-10.18496375160232,73,Well Prepared
Bhojpur,25.565465,84.677244,60,-11.87269290140782,71,Well Prepared
Bhopal,23.266323,77.414303,495,45.60104641353093,68,Moderate Preparedness
Bid,18.987824,75.763809,513,17.191134657961783,56,Moderate Preparedness
Bidar,17.915869,77.531757,661,-10.355808993947823,56,Moderate Preparedness
Bijapur,16.823754,75.719178,604,-5.664849978355644,62,Moderate Preparedness
Bijnor,29.379583,78.13407,234,0.22981566097861217,68,Moderate Preparedness
Bikaner,28.016543,73.317199,227,-42.14693154789793,60,Moderate Preparedness
Bilaspur,31.323902,76.761527,602,48.34820571787865,72,Well Prepared
Bilaspur,22.074605,82.176189,266,14.193981388981554,68,Moderate Preparedness
Birbhum,23.908735,87.534251,72,-12.580080590647144,73,Well Prepared
Bishnupur,24.632371,93.764667,809,11.162982906381101,59,Moderate Preparedness
Bokaro,23.640657,86.162947,209,14.670262403384983,66,Moderate Preparedness
Bongaigaon,26.502443,90.564968,61,19.90125479417727,81,Well Prepared
Budaun,28.034404,79.124138,171,17.981566243866244,71,Well Prepared
Bulandshahr,28.400237,77.861025,202,-13.260117109648148,67,Moderate Preparedness
Buldana,20.532223,76.181689,649,-14.977456236385246,52,Moderate Preparedness
Bundi,25.442985,75.643423,310,6.173718276535162,59,Moderate Preparedness
Burhanpur,21.33186,76.20459,260,0.8245100269872787,61,Moderate Preparedness
Buxar,25.571102,83.98059,64,13.739665007445709,77,Well Prepared
Cachar,24.820025,92.795038,24,-26.84642482829341,72,Well Prepared
Chamba,32.558843,76.126097,1009,-13.08007492565014,64,Moderate Preparedness
Chamoli,30.401381,79.331112,1248,1.2868973794834777,57,Moderate Preparedness
Champawat,29.333337,80.103959,1621,9.483501932294734,53,Moderate Preparedness
Champhai,23.489023,93.345186,1348,28.964647948415777,52,Moderate Preparedness
Chamarajanagar,11.936475,76.939171,703,1.9492760463683814,54,Moderate Preparedness
Chandauli,25.258531,83.270958,77,42.911685168636176,81,Well Prepared
Chandel,24.320947,93.989857,941,-14.990152661832186,58,Moderate Preparedness
Chandigarh,30.731928,76.785486,346,-20.570754707224143,51,Moderate Preparedness
Chandrapur,19.951685,79.295823,186,-26.260769188004137,68,Moderate Preparedness
Changlang,27.087745,95.731123,772,23.17290018844819,60,Moderate Preparedness
Chatra,24.208676,84.866295,430,1.3165568024024323,53,Moderate Preparedness
Chennai,13.074737,80.267689,8,-3.2343221478125144,84,Well Prepared
Chhatarpur,24.915425,79.592243,305,3.1911790594634253,62,Moderate Preparedness
Chhindwara,22.057572,78.940098,678,3.6686301677439177,55,Moderate Preparedness
Chikmagalur,13.318348,75.772746,1031,-7.7966961001475426,50,Moderate Preparedness
Chitradurga,14.227245,76.402839,738,4.711837298650318,53,Moderate Preparedness
Chitrakoot,25.210734,80.914156,138,34.805572041277664,64,Moderate Preparedness
Chittaurgarh,24.876434,74.619443,404,-42.584985342858445,58,Moderate Preparedness
Chittoor,13.215319,79.100032,311,-5.85069862622348,56,Moderate Preparedness
Churachandpur,24.334438,93.658102,1072,32.0368032183781,56,Moderate Preparedness
Churu,28.300078,74.966601,292,13.706462406634085,68,Moderate Preparedness
Coimbatore,10.994743,76.96688,415,-1.4799245064720563,52,Moderate Preparedness
Cuddalore,11.75553,79.762325,8,-11.271316880001999,76,Well Prepared
Cuddapah,14.482391,78.82537,130,-9.251313196512305,73,Well Prepared
Cuttack,20.478116,85.85389,27,20.005038649627753,79,Well Prepared
Dadra & Nagar Haveli,20.284446,72.998942,37,0.7845186086492322,81,Well Prepared
Dakshin Dinajpur,25.230003,88.789755,27,2.417163992304237,72,Well Prepared
Dakshina Kannada,12.863889,74.841219,21,26.005025247007914,75,Well Prepared
Daman,20.424388,72.846682,10,-2.253909362173959,81,Well Prepared
Damoh,23.824248,79.455215,380,23.457159833449083,55,Moderate Preparedness
Dantewada,18.87715,81.367201,380,-6.77164732762399,61,Moderate Preparedness
Darbhanga,26.164221,85.910612,54,16.912082851887835,72,Well Prepared
Darjiling,27.041527,88.272768,1782,13.30931198770417,53,Moderate Preparedness
Darrang,26.441811,92.033565,59,19.298368221749694,81,Well Prepared
Datia,25.673026,78.458158,243,-28.26700215637455,61,Moderate Preparedness
Dausa,26.899411,76.334441,336,7.2163866760298205,51,Moderate Preparedness
Davangere,14.492934,75.936375,578,10.659391210407062,50,Moderate Preparedness
Debagarh,21.546245,84.744026,311,28.676878392884337,51,Moderate Preparedness
Dehradun,30.325264,78.041576,670,-21.394741984617255,63,Moderate Preparedness
Deoghar,24.481265,86.700615,253,11.685333035920417,65,Moderate Preparedness
Deoria,26.500556,83.783389,79,-18.45170115933805,80,Well Prepared
Dewas,22.962736,76.071156,548,5.028851231124043,61,Moderate Preparedness
Dhalai,23.938769,91.868389,94,-17.20865583292249,76,Well Prepared
Dhamtari,20.703812,81.567596,325,48.45059990537129,71,Well Prepared
Dhanbad,23.797727,86.436225,239,-7.900068189782921,60,Moderate Preparedness
Dhar,22.598554,75.314536,570,-15.558713903783554,60,Moderate Preparedness
Dharmapuri,12.134803,78.161203,455,0.3038306110855795,64,Moderate Preparedness
Dharwad,15.452454,75.012073,723,1.5225938027611852,60,Moderate Preparedness
Dhaulpur,26.693948,77.894554,175,14.836703031459574,72,Well Prepared
Dhemaji,27.4844,94.594933,100,13.866992543815924,72,Well Prepared
Dhenkanal,20.654734,85.588016,86,-31.588704366061794,72,Well Prepared
Dhubri,26.019042,89.991086,29,-19.542760296073453,79,Well Prepared
Dhule,20.90441,74.781243,261,13.557600869245627,72,Well Prepared
Dibang Valley,28.850861,95.871559,1775,14.598629832443667,60,Moderate Preparedness
Dibrugarh,27.480193,94.912419,107,11.984323006626154,72,Well Prepared
Dimapur,25.91789,93.746839,145,-8.436567036195582,60,Moderate Preparedness
Dindigul,10.361936,77.968908,277,9.16826371110457,61,Moderate Preparedness
Dindori,22.939702,81.083584,682,8.95731744878592,55,Moderate Preparedness
Diu,20.713309,70.979548,3,26.770089994829817,79,Well Prepared
Dohad,22.823003,74.263925,299,-9.38330210036951,65,Moderate Preparedness
Dumka,24.271014,87.249367,148,25.153739489598326,68,Moderate Preparedness
Dungarpur,23.837104,73.716702,314,-30.769246903578622,50,Moderate Preparedness
Durg,21.188278,81.275855,291,-0.05230184233638413,69,Moderate Preparedness
East Sikkim,27.328923,88.616469,1545,-16.27891986992864,54,Moderate Preparedness
East Garo Hills,25.528369,90.593784,267,1.7746909161938627,73,Well Prepared
East Godavari,16.969397,82.236435,8,-1.4241741074429677,77,Well Prepared
East Kameng,27.333113,93.063248,773,19.576153859111944,56,Moderate Preparedness
East Khasi Hills,25.588025,91.887356,1444,-24.630568498641285,57,Moderate Preparedness
East Nimar,21.827574,76.356018,313,-19.209101533882652,63,Moderate Preparedness
East Siang,28.065355,95.333325,161,12.163209421326378,66,Moderate Preparedness
Ernakulam,9.956764,76.292401,4,0.807240803494031,74,Well Prepared
Erode,11.334348,77.72772,170,9.575657086012342,62,Moderate Preparedness
Etah,27.55673,78.657582,170,-3.6041905313933476,69,Moderate Preparedness
Etawah,26.77697,79.025561,149,12.589696074506378,72,Well Prepared
Faizabad,26.781125,82.149876,102,-11.837909837958202,64,Moderate Preparedness
Faridabad,28.427902,77.329409,204,-7.024633620756388,66,Moderate Preparedness
Faridkot,30.67333,74.758547,203,22.3515270554107,60,Moderate Preparedness
Farrukhabad,27.367541,79.635106,147,-11.848153146273292,63,Moderate Preparedness
Fatehabad,29.516385,75.4548,212,1.6368358937554381,64,Moderate Preparedness
Fatehgarh Sahib,30.647528,76.406922,268,14.33583309246454,61,Moderate Preparedness
Fatehpur,25.927961,80.817369,117,-11.21315655310075,70,Well Prepared
Firozabad,27.142217,78.398303,163,-13.697841226201882,70,Well Prepared
Firozpur,30.939516,74.619239,197,27.88972764439794,67,Moderate Preparedness
Gadag,15.441432,75.646857,647,60.683594462624335,66,Moderate Preparedness
Gadchiroli,20.184794,80.007887,210,-33.488071681279564,72,Well Prepared
Gajapati,18.776646,84.080324,60,1.197251081685764,82,Well Prepared
Gandhinagar,23.235737,72.671374,79,10.26848192050807,70,Well Prepared
Ganganagar,29.928315,73.867201,177,-21.765944154039243,66,Moderate Preparedness
Ganjam,19.350441,84.985993,23,-10.738425140429875,83,Well Prepared
Garwah,24.17351,83.81231,211,-0.219832367372383,62,Moderate Preparedness
Garhwal,30.152136,78.780959,1391,-15.224410572560382,55,Moderate Preparedness
Gautam Buddha Nagar,28.567013,77.327519,201,1.8390118652561545,61,Moderate Preparedness
Gaya,24.79151,85.004475,119,15.278978722884235,64,Moderate Preparedness
Ghaziabad,28.660255,77.445653,215,31.22276839391016,72,Well Prepared
Ghazipur,25.586118,83.581496,71,7.451871207988377,73,Well Prepared
Giridih,24.189967,86.313267,296,-13.275566263044665,62,Moderate Preparedness
Goalpara,26.176465,90.631164,40,-25.039752357465712,70,Well Prepared
Godda,24.829078,87.215924,91,26.564212825626015,81,Well Prepared
Golaghat,26.509522,93.974001,101,-1.5679463278106947,73,Well Prepared
Gonda,27.133796,81.962471,109,7.317907744226705,66,Moderate Preparedness
Gondiya,21.448734,80.1972,313,32.092280515731396,61,Moderate Preparedness
Gopalganj,26.465323,84.444294,72,8.915129661732514,77,Well Prepared
Gorakhpur,26.759828,83.370935,83,-5.7519694758740645,82,Well Prepared
Gulbarga,17.334962,76.834784,465,11.356824479178437,55,Moderate Preparedness
Gumla,23.026635,84.534374,653,9.185603820733705,57,Moderate Preparedness
Guna,24.644351,77.313136,477,1.0161084689515962,53,Moderate Preparedness
Guntur,16.297356,80.447394,32,18.74229339479745,71,Well Prepared
Gurdaspur,32.045131,75.408744,264,-1.66991264805011,61,Moderate Preparedness
Gurgaon,28.466248,77.028569,225,28.09115407392216,71,Well Prepared
Gwalior,26.222524,78.168463,233,4.345228533217404,72,Well Prepared
Hailakandi,24.709416,92.568191,24,-2.014732857163685,71,Well Prepared
Hamirpur,31.672705,76.521404,750,15.356835580815863,55,Moderate Preparedness
Hamirpur,25.959941,80.117055,107,12.969953497493144,72,Well Prepared
Hanumangarh,29.577336,74.320427,183,-4.510476911756429,61,Moderate Preparedness
Haora,22.567906,88.327811,6,-7.214780600422463,84,Well Prepared
Harda,22.336719,77.085484,286,17.97251280193221,74,Well Prepared
Hardoi,27.395551,80.127149,145,21.523973782558492,71,Well Prepared
Hardwar,29.919595,78.162848,278,16.860135408205693,73,Well Prepared
Hassan,13.008913,76.098149,952,32.529197682710986,62,Moderate Preparedness
Hathras,27.585241,78.05918,179,34.29234046314283,68,Moderate Preparedness
Haveri,14.810215,75.407562,562,-1.08125125367332,61,Moderate Preparedness
Hazaribagh,23.988567,85.36671,615,-12.781865403825714,55,Moderate Preparedness
Hingoli,19.713154,77.153409,457,45.11201463806663,62,Moderate Preparedness
Hisar,29.151765,75.725027,213,30.120429888864262,67,Moderate Preparedness
Hoshangabad,22.740101,77.713729,304,33.9503150355531,60,Moderate Preparedness
Hoshiarpur,31.535053,75.914418,305,-13.16480783392966,63,Moderate Preparedness
Hugli,22.900631,88.396631,12,-26.195181054531194,80,Well Prepared
Hyderabad,17.399667,78.488244,507,-29.00200374380464,64,Moderate Preparedness
Hyderabad,17.399667,78.488244,507,21.70753276451529,59,Moderate Preparedness
Idukki,9.900515,77.176271,1066,23.37447694508579,64,Moderate Preparedness
Imphal,24.811571,93.950799,783,45.437275676323324,61,Moderate Preparedness
Indore,22.716881,75.867271,553,30.22179902862221,62,Moderate Preparedness
Jabalpur,23.172246,79.937619,406,11.28564493825975,50,Moderate Preparedness
Jagatsinghapur,20.26385,86.166024,13,-20.133307661976858,77,Well Prepared
Jaintia Hills,25.438113,92.198261,1321,36.10022150009514,52,Moderate Preparedness
Jaipur,26.914736,75.810664,439,-12.490058733656555,55,Moderate Preparedness
Jaisalmer,26.911481,70.91459,237,-4.1457750475981445,62,Moderate Preparedness
Jajapur,20.844687,86.32523,15,14.844010787916028,70,Well Prepared
Jalandhar,31.339673,75.581698,239,43.72303982049458,83,Well Prepared
Jalaun,25.989945,79.454191,139,40.08318473801877,76,Well Prepared
Jalgaon,21.009559,75.570044,218,12.33464936080258,74,Well Prepared
Jalna,19.848844,75.901627,505,-6.5395965072902165,57,Moderate Preparedness
Jalor,25.342919,72.620614,247,-10.507873267465408,69,Moderate Preparedness
Jalpaiguri,26.527845,88.719039,85,26.7948429050903,74,Well Prepared
Jammu,32.727401,74.8456,308,21.90809181902785,53,Moderate Preparedness
Jamnagar,22.471076,70.07265,18,28.28542048382069,82,Well Prepared
Jamtara,23.959798,86.788385,191,-24.585695501001073,62,Moderate Preparedness
Jamui,24.925934,86.216344,83,-2.464824396690482,84,Well Prepared
Janjgir,22.003783,82.594618,268,40.56222865602799,72,Well Prepared
Jashpur,22.892329,84.158393,761,-23.372431354311676,56,Moderate Preparedness
Jaunpur,25.748744,82.687741,80,27.542110595309087,70,Well Prepared
Jehanabad,25.212198,84.982009,67,-9.950033038329453,73,Well Prepared
Jhabua,22.769906,74.599553,324,26.462052380602405,51,Moderate Preparedness
Jhajjar,28.601349,76.6536,215,0.7837184107025243,62,Moderate Preparedness
Jhalawar,24.592312,76.165807,312,-19.093171300256728,50,Moderate Preparedness
Jhansi,25.462975,78.57546,243,-0.46735196381904,67,Moderate Preparedness
Jharsuguda,21.851989,84.025951,224,23.56941571821096,64,Moderate Preparedness
Jhunjhunun,28.129504,75.400108,338,9.62616116446949,56,Moderate Preparedness
Jind,29.318821,76.313347,226,10.030043892990284,72,Well Prepared
Jodhpur,26.279624,73.022778,241,-6.060958841341485,73,Well Prepared
Jorhat,26.754666,94.218519,94,10.067914078952825,74,Well Prepared
Junagadh,21.522705,70.461296,98,14.383661193394433,76,Well Prepared
Jyotiba Phule Nagar,28.906416,78.462509,216,14.276551655306992,73,Well Prepared
Kachchh,23.251213,69.666108,99,14.289046829708026,70,Well Prepared
Kaimur,25.040295,83.602718,84,5.03888294302523,73,Well Prepared
Kaithal,29.804185,76.399321,237,-1.7113625818983693,71,Well Prepared
Kalahandi,19.910373,83.176494,261,3.36608169406942,61,Moderate Preparedness
Kamrup,26.181061,91.751916,59,-5.102710579267615,74,Well Prepared
Kancheepuram,12.834822,79.715697,83,-40.8841136746281,76,Well Prepared
Kandhamal,20.467657,84.240574,503,39.0539671913147,62,Moderate Preparedness
Kangra,32.217751,76.31406,1291,15.078810487512799,52,Moderate Preparedness
Kanker,20.275167,81.50583,402,-34.6922941559789,58,Moderate Preparedness
Kannauj,27.056124,79.926694,133,6.914746185234112,72,Well Prepared
Kanniyakumari,8.175865,77.440953,27,-1.3584358657268631,70,Well Prepared
Kannur,11.868687,75.36639,15,28.31674141004436,71,Well Prepared
Kanpur Dehat,26.375967,79.955267,132,13.57233163587821,72,Well Prepared
Kanpur Nagar,26.461855,80.344194,132,10.884306929432542,73,Well Prepared
Kapurthala,31.379585,75.385678,226,15.679984238847277,60,Moderate Preparedness
Karaikal,10.917964,79.837646,3,1.3914424854411442,70,Well Prepared
Karauli,26.4987,77.022184,273,-32.06358490199768,60,Moderate Preparedness
Karbi Anglong,25.838215,93.446934,199,17.30357598726223,65,Moderate Preparedness
Karimganj,24.871588,92.353828,22,-5.348096531496726,70,Well Prepared
Karimnagar,18.431912,79.144791,263,19.389948064300576,74,Well Prepared
Karnal,29.692495,76.985142,251,-19.353303754776896,65,Moderate Preparedness
Karur,10.948948,78.086832,123,17.936625466839423,74,Well Prepared
Kasaragod,12.498305,74.990213,18,27.27036524718392,82,Well Prepared
Kathua,32.359369,75.516357,313,9.066460735914152,61,Moderate Preparedness
Katihar,25.537374,87.583497,32,22.73352206962096,79,Well Prepared
Katni,23.841092,80.397878,380,-18.98112291685318,54,Moderate Preparedness
Kaushambi,25.524545,81.383437,104,-10.815440430293709,66,Moderate Preparedness
Kawardha,22.006266,81.259515,338,2.8140271804365558,51,Moderate Preparedness
Kendrapara,20.508399,86.417262,6,-6.104586432999708,71,Well Prepared
Kendujhar,21.644926,85.583459,482,-23.794378174071984,63,Moderate Preparedness
Khagaria,25.508751,86.472735,41,-1.3324043585191903,81,Well Prepared
Khammam,17.245344,80.140567,116,10.951020908556995,69,Moderate Preparedness
Kheda,22.747316,72.695273,26,-10.80607400190983,71,Well Prepared
Kheri,27.947796,80.788432,147,-11.068218651047083,67,Moderate Preparedness
Khordha,20.187781,85.622131,44,4.6192030181208334,70,Well Prepared
Kinnaur,31.546954,78.26285,2589,9.136563736745343,58,Moderate Preparedness
Kishanganj,26.112966,87.9283,50,-11.089638084573037,72,Well Prepared
Koch Bihar,26.328292,89.453617,45,14.207446053585041,82,Well Prepared
Kodagu,12.422433,75.744027,1152,6.527823682774024,51,Moderate Preparedness
Kodarma,24.463,85.587047,386,29.808583408038896,60,Moderate Preparedness
Kohima,25.684924,94.118903,1410,9.75711358697853,59,Moderate Preparedness
Kokrajhar,26.40281,90.273819,47,1.5331084835263282,83,Well Prepared
Kolar,13.135759,78.136263,835,-29.147594512518747,60,Moderate Preparedness
Kolasib,24.252182,92.690303,364,19.351987447444554,52,Moderate Preparedness
Kolhapur,16.694394,74.22406,559,-7.534105896031534,56,Moderate Preparedness
Kolkata,22.548783,88.39894,5,7.30388366690798,70,Well Prepared
Kollam,8.888392,76.609021,18,4.489759667585094,79,Well Prepared
Koppal,15.362997,76.167916,539,5.9966773605605415,56,Moderate Preparedness
Koraput,18.80694,82.719909,875,6.132708885831741,57,Moderate Preparedness
Korba,22.337193,82.715651,288,-12.436298926346877,68,Moderate Preparedness
Koriya,23.244843,82.570516,538,21.682215510808206,57,Moderate Preparedness
Kota,25.179993,75.846204,263,9.14609190622116,71,Well Prepared
Kottayam,9.595602,76.521426,12,-25.27424429418722,84,Well Prepared
Kozhikode,11.239895,75.795215,14,-10.786268096457436,77,Well Prepared
Krishna,16.189204,81.136184,9,-1.6831487058646668,73,Well Prepared
Krishnagiri,12.533802,78.228528,512,-25.022103401578622,52,Moderate Preparedness
Kullu,31.960573,77.107897,1454,5.303666457349945,52,Moderate Preparedness
Kurnool,15.834985,78.041533,283,5.785651393595931,66,Moderate Preparedness
Kurukshetra,29.962444,76.838151,256,42.62055497250973,72,Well Prepared
Kurung Kumey,27.861258,93.499644,985,-4.7010154301548095,51,Moderate Preparedness
Kushinagar,26.907172,83.985134,88,11.122489884998625,74,Well Prepared
Lahul & Spiti,32.574709,77.040806,3458,-12.931746257271195,62,Moderate Preparedness
Lakhimpur,27.236148,94.105136,93,-10.307479184257366,72,Well Prepared
Lakhisarai,25.176411,86.090783,47,21.05992163373575,84,Well Prepared
Lakshdweep,10.568609,72.640306,-7,20.74073303448156,80,Well Prepared
Lalitpur,24.691585,78.418609,357,50.553732755456096,67,Moderate Preparedness
Latehar,23.75162,84.509376,406,21.628754128612286,56,Moderate Preparedness
Latur,18.401122,76.576955,629,-17.02211936583804,62,Moderate Preparedness
Leh,34.138736,77.565158,3322,28.375451036434477,52,Moderate Preparedness
Lohardaga,23.432486,84.681568,659,33.405611028268794,51,Moderate Preparedness
Lohit,27.925439,96.166869,221,-4.423594175023634,60,Moderate Preparedness
Lower Dibang Valley,28.1375,95.798781,289,-31.08554299469132,67,Moderate Preparedness
Lower Subansiri,27.5556,93.812343,1661,24.651564651345865,57,Moderate Preparedness
Lucknow,26.83323,80.943614,123,-6.802316802182871,67,Moderate Preparedness
Ludhiana,30.908679,75.851626,249,2.471709693278639,60,Moderate Preparedness
Lunglei,22.888359,92.746609,921,49.17606700475736,63,Moderate Preparedness
Madhepura,25.921099,86.792579,47,22.08142370667483,71,Well Prepared
Madhubani,26.356596,86.070431,59,31.6430099803434,81,Well Prepared
Madurai,9.924937,78.129356,137,21.171640976375386,61,Moderate Preparedness
Maharajganj,27.146858,83.567801,93,18.47772651710355,72,Well Prepared
Mahasamund,21.09393,82.111104,291,39.73497697482649,64,Moderate Preparedness
Mahbubnagar,16.744426,77.991612,505,2.6421501498239004,52,Moderate Preparedness
Mahendragarh,28.045836,76.11006,307,12.448174460181898,54,Moderate Preparedness
Mahesana,23.60274,72.385689,89,-16.94882320310225,80,Well Prepared
Mahoba,25.286105,79.880627,210,64.94367615585655,74,Well Prepared
Mainpuri,27.229325,79.049369,158,-13.488573553063,68,Moderate Preparedness
Malappuram,11.043786,76.085683,51,-1.161127547065091,70,Well Prepared
Maldah,25.010231,88.147599,28,16.211375961231948,73,Well Prepared
Malkangiri,18.357914,81.897509,203,18.07361445531672,60,Moderate Preparedness
Mamit,23.942233,92.499553,541,18.044796655391643,50,Moderate Preparedness
Mandi,31.711956,76.932031,840,21.70705006709655,63,Moderate Preparedness
Mandla,22.605889,80.370917,447,-7.5238595320923345,50,Moderate Preparedness
Mandsaur,24.063675,75.074883,435,-2.467753088853788,55,Moderate Preparedness
Mandya,12.517368,76.898666,679,-51.09291493228128,56,Moderate Preparedness
Mansa,29.986894,75.390143,219,-5.017921278743751,60,Moderate Preparedness
Marigaon,26.255106,92.337553,61,17.395345691078614,77,Well Prepared
Mathura,27.494256,77.684411,177,-18.21216436946705,65,Moderate Preparedness
Mau,25.947961,83.561419,73,19.25253719710685,78,Well Prepared
Mayurbhanj,21.944929,86.725858,41,10.509565624616783,74,Well Prepared
Medak,17.625811,78.082342,515,11.313807899265738,62,Moderate Preparedness
Meerut,28.986554,77.70386,227,-8.785737294514453,60,Moderate Preparedness
Mirzapur,25.143896,82.562668,81,-17.084851975549668,81,Well Prepared
Moga,30.801361,75.162775,221,31.046767763322908,65,Moderate Preparedness
Mokokchung,26.321208,94.519572,1135,17.472093678817316,54,Moderate Preparedness
Mon,26.723923,95.031768,666,-17.617832525935928,50,Moderate Preparedness
Moradabad,28.832848,78.780652,202,-23.0329601148467,67,Moderate Preparedness
Morena,26.500863,78.001752,176,6.516192612609374,70,Well Prepared
Muktsar,30.463978,74.517016,199,12.143056919267364,66,Moderate Preparedness
Mumbai,18.987074,72.830007,8,-21.51930006706225,76,Well Prepared
Mumbai (Suburban),19.054135,72.832678,4,30.42343471870225,76,Well Prepared
Munger,25.37403,86.47675,48,-10.56567193531073,71,Well Prepared
Murshidabad,24.100513,88.278789,21,12.732177653760226,79,Well Prepared
Muzaffarnagar,29.471716,77.700412,247,-26.235223872931986,65,Moderate Preparedness
Muzaffarpur,26.117382,85.406908,58,34.38312747448127,79,Well Prepared
