district,latitude,longitude,elevation,terrain_risk
Bongaigaon,26.502443,90.564968,61,2
Budaun,28.034404,79.124138,171,1
Bulandshahr,28.400237,77.861025,202,1
Buldana,20.532223,76.181689,649,0
Bundi,25.442985,75.643423,310,0
Burhanpur,21.33186,76.20459,260,1
Buxar,25.571102,83.98059,64,2
Cachar,24.820025,92.795038,24,2
Chamba,32.558843,76.126097,1009,0
Chamoli,30.401381,79.331112,1248,0
Champawat,29.333337,80.103959,1621,0
Champhai,23.489023,93.345186,1348,0
Chamarajanagar,11.936475,76.939171,703,0
Chandauli,25.258531,83.270958,77,2
Chandel,24.320947,93.989857,941,0
Chandigarh,30.731928,76.785486,346,0
Chandrapur,19.951685,79.295823,186,1
Changlang,27.087745,95.731123,772,0
Chatra,24.208676,84.866295,430,0
Chennai,13.074737,80.267689,8,2
Chhatarpur,24.915425,79.592243,305,0
Chhindwara,22.057572,78.940098,678,0
Chikmagalur,13.318348,75.772746,1031,0
Chitradurga,14.227245,76.402839,738,0
Chitrakoot,25.210734,80.914156,138,1
Chittaurgarh,24.876434,74.619443,404,0
Chittoor,13.215319,79.100032,311,0
Churachandpur,24.334438,93.658102,1072,0
Churu,28.300078,74.966601,292,1
Coimbatore,10.994743,76.96688,415,0
Cuddalore,11.75553,79.762325,8,2
Cuddapah,14.482391,78.82537,130,1
Cuttack,20.478116,85.85389,27,2
Dadra & Nagar Haveli,20.284446,72.998942,37,2
Dakshin Dinajpur,25.230003,88.789755,27,2
Dakshina Kannada,12.863889,74.841219,21,2
Daman,20.424388,72.846682,10,2
Damoh,23.824248,79.455215,380,0
Dantewada,18.87715,81.367201,380,0
Darbhanga,26.164221,85.910612,54,2
Darjiling,27.041527,88.272768,1782,0
Darrang,26.441811,92.033565,59,2
Datia,25.673026,78.458158,243,1
Dausa,26.899411,76.334441,336,0
Davangere,14.492934,75.936375,578,0
Debagarh,21.546245,84.744026,311,0
Dehradun,30.325264,78.041576,670,0
Deoghar,24.481265,86.700615,253,1
Deoria,26.500556,83.783389,79,2
Dewas,22.962736,76.071156,548,0
Dhalai,23.938769,91.868389,94,2
Dhamtari,20.703812,81.567596,325,0
Dhanbad,23.797727,86.436225,239,1
Dhar,22.598554,75.314536,570,0
Dharmapuri,12.134803,78.161203,455,0
Dharwad,15.452454,75.012073,723,0
Dhaulpur,26.693948,77.894554,175,1
Dhemaji,27.4844,94.594933,100,1
Dhenkanal,20.654734,85.588016,86,2
Dhubri,26.019042,89.991086,29,2
Dhule,20.90441,74.781243,261,1
Dibang Valley,28.850861,95.871559,1775,0
Dibrugarh,27.480193,94.912419,107,1
Dimapur,25.91789,93.746839,145,1
Dindigul,10.361936,77.968908,277,1
Dindori,22.939702,81.083584,682,0
Diu,20.713309,70.979548,3,2
Dohad,22.823003,74.263925,299,1
Dumka,24.271014,87.249367,148,1
Dungarpur,23.837104,73.716702,314,0
Durg,21.188278,81.275855,291,1
East Sikkim,27.328923,88.616469,1545,0
East Garo Hills,25.528369,90.593784,267,1
East Godavari,16.969397,82.236435,8,2
East Kameng,27.333113,93.063248,773,0
East Khasi Hills,25.588025,91.887356,1444,0
East Nimar,21.827574,76.356018,313,0
East Siang,28.065355,95.333325,161,1
Ernakulam,9.956764,76.292401,4,2
Erode,11.334348,77.72772,170,1
Etah,27.55673,78.657582,170,1
Etawah,26.77697,79.025561,149,1
Faizabad,26.781125,82.149876,102,1
Faridabad,28.427902,77.329409,204,1
Faridkot,30.67333,74.758547,203,1
Farrukhabad,27.367541,79.635106,147,1
Fatehabad,29.516385,75.4548,212,1
Fatehgarh Sahib,30.647528,76.406922,268,1
Fatehpur,25.927961,80.817369,117,1
Firozabad,27.142217,78.398303,163,1
Firozpur,30.939516,74.619239,197,1
Gadag,15.441432,75.646857,647,0
Gadchiroli,20.184794,80.007887,210,1
Gajapati,18.776646,84.080324,60,2
Gandhinagar,23.235737,72.671374,79,2
Ganganagar,29.928315,73.867201,177,1
Ganjam,19.350441,84.985993,23,2
Garwah,24.17351,83.81231,211,1
Garhwal,30.152136,78.780959,1391,0
Gautam Buddha Nagar,28.567013,77.327519,201,1
Gaya,24.79151,85.004475,119,1
Ghaziabad,28.660255,77.445653,215,1
Ghazipur,25.586118,83.581496,71,2
Giridih,24.189967,86.313267,296,1
Goalpara,26.176465,90.631164,40,2
Godda,24.829078,87.215924,91,2
Golaghat,26.509522,93.974001,101,1
Gonda,27.133796,81.962471,109,1
Gondiya,21.448734,80.1972,313,0
Gopalganj,26.465323,84.444294,72,2
Gorakhpur,26.759828,83.370935,83,2
Gulbarga,17.334962,76.834784,465,0
Gumla,23.026635,84.534374,653,0
Guna,24.644351,77.313136,477,0
Guntur,16.297356,80.447394,32,2
Gurdaspur,32.045131,75.408744,264,1
Gurgaon,28.466248,77.028569,225,1
Gwalior,26.222524,78.168463,233,1
Hailakandi,24.709416,92.568191,24,2
Hamirpur,31.672705,76.521404,750,0
Hamirpur,25.959941,80.117055,107,1
Hanumangarh,29.577336,74.320427,183,1
Haora,22.567906,88.327811,6,2
Harda,22.336719,77.085484,286,1
Hardoi,27.395551,80.127149,145,1
Hardwar,29.919595,78.162848,278,1
Hassan,13.008913,76.098149,952,0
Hathras,27.585241,78.05918,179,1
Haveri,14.810215,75.407562,562,0
Hazaribagh,23.988567,85.36671,615,0
Hingoli,19.713154,77.153409,457,0
Hisar,29.151765,75.725027,213,1
Hoshangabad,22.740101,77.713729,304,0
Hoshiarpur,31.535053,75.914418,305,0
Hugli,22.900631,88.396631,12,2
Hyderabad,17.399667,78.488244,507,0
Hyderabad,17.399667,78.488244,507,0
Idukki,9.900515,77.176271,1066,0
Imphal,24.811571,93.950799,783,0
Indore,22.716881,75.867271,553,0
Jabalpur,23.172246,79.937619,406,0
Jagatsinghapur,20.26385,86.166024,13,2
Jaintia Hills,25.438113,92.198261,1321,0
Jaipur,26.914736,75.810664,439,0
Jaisalmer,26.911481,70.91459,237,1
Jajapur,20.844687,86.32523,15,2
Jalandhar,31.339673,75.581698,239,1
Jalaun,25.989945,79.454191,139,1
Jalgaon,21.009559,75.570044,218,1
Jalna,19.848844,75.901627,505,0
Jalor,25.342919,72.620614,247,1
Jalpaiguri,26.527845,88.719039,85,2
Jammu,32.727401,74.8456,308,0
Jamnagar,22.471076,70.07265,18,2
Jamtara,23.959798,86.788385,191,1
Jamui,24.925934,86.216344,83,2
Janjgir,22.003783,82.594618,268,1
Jashpur,22.892329,84.158393,761,0
Jaunpur,25.748744,82.687741,80,2
Jehanabad,25.212198,84.982009,67,2
Jhabua,22.769906,74.599553,324,0
Jhajjar,28.601349,76.6536,215,1
Jhalawar,24.592312,76.165807,312,0
Jhansi,25.462975,78.57546,243,1
Jharsuguda,21.851989,84.025951,224,1
Jhunjhunun,28.129504,75.400108,338,0
Jind,29.318821,76.313347,226,1
Jodhpur,26.279624,73.022778,241,1
Jorhat,26.754666,94.218519,94,2
Junagadh,21.522705,70.461296,98,2
Jyotiba Phule Nagar,28.906416,78.462509,216,1
Kachchh,23.251213,69.666108,99,2
Kaimur,25.040295,83.602718,84,2
Kaithal,29.804185,76.399321,237,1
Kalahandi,19.910373,83.176494,261,1
Kamrup,26.181061,91.751916,59,2
Kancheepuram,12.834822,79.715697,83,2
Kandhamal,20.467657,84.240574,503,0
Kangra,32.217751,76.31406,1291,0
Kanker,20.275167,81.50583,402,0
Kannauj,27.056124,79.926694,133,1
Kanniyakumari,8.175865,77.440953,27,2
Kannur,11.868687,75.36639,15,2
Kanpur Dehat,26.375967,79.955267,132,1
Kanpur Nagar,26.461855,80.344194,132,1
Kapurthala,31.379585,75.385678,226,1
Karaikal,10.917964,79.837646,3,2
Karauli,26.4987,77.022184,273,1
Karbi Anglong,25.838215,93.446934,199,1
Karimganj,24.871588,92.353828,22,2
Karimnagar,18.431912,79.144791,263,1
Karnal,29.692495,76.985142,251,1
Karur,10.948948,78.086832,123,1
Kasaragod,12.498305,74.990213,18,2
Kathua,32.359369,75.516357,313,0
Katihar,25.537374,87.583497,32,2
Katni,23.841092,80.397878,380,0
Kaushambi,25.524545,81.383437,104,1
Kawardha,22.006266,81.259515,338,0
Kendrapara,20.508399,86.417262,6,2
Kendujhar,21.644926,85.583459,482,0
Khagaria,25.508751,86.472735,41,2
Khammam,17.245344,80.140567,116,1
Kheda,22.747316,72.695273,26,2
Kheri,27.947796,80.788432,147,1
Khordha,20.187781,85.622131,44,2
Kinnaur,31.546954,78.26285,2589,0
Kishanganj,26.112966,87.9283,50,2
Koch Bihar,26.328292,89.453617,45,2
Kodagu,12.422433,75.744027,1152,0
Kodarma,24.463,85.587047,386,0
Kohima,25.684924,94.118903,1410,0
Kokrajhar,26.40281,90.273819,47,2
Kolar,13.135759,78.136263,835,0
Kolasib,24.252182,92.690303,364,0
Kolhapur,16.694394,74.22406,559,0
Kolkata,22.548783,88.39894,5,2
Kollam,8.888392,76.609021,18,2
Koppal,15.362997,76.167916,539,0
Koraput,18.80694,82.719909,875,0
Korba,22.337193,82.715651,288,1
Koriya,23.244843,82.570516,538,0
Kota,25.179993,75.846204,263,1
Kottayam,9.595602,76.521426,12,2
Kozhikode,11.239895,75.795215,14,2
Krishna,16.189204,81.136184,9,2
Krishnagiri,12.533802,78.228528,512,0
Kullu,31.960573,77.107897,1454,0
Kurnool,15.834985,78.041533,283,1
Kurukshetra,29.962444,76.838151,256,1
Kurung Kumey,27.861258,93.499644,985,0
Kushinagar,26.907172,83.985134,88,2
Lahul & Spiti,32.574709,77.040806,3458,0
Lakhimpur,27.236148,94.105136,93,2
Lakhisarai,25.176411,86.090783,47,2
Lakshdweep,10.568609,72.640306,-7,2
Lalitpur,24.691585,78.418609,357,0
Latehar,23.75162,84.509376,406,0
Latur,18.401122,76.576955,629,0
Leh,34.138736,77.565158,3322,0
Lohardaga,23.432486,84.681568,659,0
Lohit,27.925439,96.166869,221,1
Lower Dibang Valley,28.1375,95.798781,289,1
Lower Subansiri,27.5556,93.812343,1661,0
Lucknow,26.83323,80.943614,123,1
Ludhiana,30.908679,75.851626,249,1
Lunglei,22.888359,92.746609,921,0
Madhepura,25.921099,86.792579,47,2
Madhubani,26.356596,86.070431,59,2
Madurai,9.924937,78.129356,137,1
Maharajganj,27.146858,83.567801,93,2
Mahasamund,21.09393,82.111104,291,1
Mahbubnagar,16.744426,77.991612,505,0
Mahendragarh,28.045836,76.11006,307,0
Mahesana,23.60274,72.385689,89,2
Mahoba,25.286105,79.880627,210,1
Mainpuri,27.229325,79.049369,158,1
Malappuram,11.043786,76.085683,51,2
Maldah,25.010231,88.147599,28,2
Malkangiri,18.357914,81.897509,203,1
Mamit,23.942233,92.499553,541,0
Mandi,31.711956,76.932031,840,0
Mandla,22.605889,80.370917,447,0
Mandsaur,24.063675,75.074883,435,0
Mandya,12.517368,76.898666,679,0
Mansa,29.986894,75.390143,219,1
Marigaon,26.255106,92.337553,61,2
Mathura,27.494256,77.684411,177,1
Mau,25.947961,83.561419,73,2
Mayurbhanj,21.944929,86.725858,41,2
Medak,17.625811,78.082342,515,0
Meerut,28.986554,77.70386,227,1
Mirzapur,25.143896,82.562668,81,2
Moga,30.801361,75.162775,221,1
Mokokchung,26.321208,94.519572,1135,0
Mon,26.723923,95.031768,666,0
Moradabad,28.832848,78.780652,202,1
Morena,26.500863,78.001752,176,1
Muktsar,30.463978,74.517016,199,1
Mumbai,18.987074,72.830007,8,2
Mumbai (Suburban),19.054135,72.832678,4,2
Munger,25.37403,86.47675,48,2
Murshidabad,24.100513,88.278789,21,2
Muzaffarnagar,29.471716,77.700412,247,1
Muzaffarpur,26.117382,85.406908,58,2
Mysore,12.309442,76.654533,752,0
Nabarangapur,19.224792,82.557829,568,0
Nadia,23.418592,88.504458,14,2
Nagaon,26.355771,92.686525,68,2
Nagapattinam,10.770587,79.834871,3,2
Nagaur,27.200302,73.736974,297,1
Nagpur,21.148204,79.096814,310,0
Nainital,29.380565,79.470524,1922,0
Nalanda,25.194764,85.521417,59,2
Nalbari,26.444776,91.445234,53,2
Nalgonda,17.061325,79.267503,245,1
Namakkal,11.225821,78.171836,195,1
Nanded,19.159314,77.313188,363,0
Nandurbar,21.36675,74.244736,215,1
Narmada,21.875823,73.499823,35,2
Narsimhapur,22.948386,79.193312,357,0
Nashik,20.006006,73.795878,580,0
Navsari,20.948755,72.925226,12,2
Nawada,24.887955,85.543198,88,2
Nawanshahr,31.120012,76.130554,258,1
Nayagarh,20.120189,85.098925,148,1
Neemuch,24.473691,74.876342,488,0
Nellore,14.449206,79.983616,22,2
Nizamabad,18.654235,78.09389,389,0
North,27.50395,88.536203,1171,0
North Cachar Hills,25.167627,93.015884,630,0
North Goa,15.480081,73.822329,12,2
North Tripura,24.342116,92.017914,32,2
North 24 Parganas,22.724797,88.507529,10,2
Nuapada,20.819327,82.555776,344,0
Osmanabad,18.181663,76.041686,656,0
Pachim Sionghum,22.554553,85.808737,229,1
Pakaur,24.635842,87.834711,41,2
Palakkad,10.772089,76.658319,91,2
Palamu,24.040242,84.069328,225,1
Pali,25.777043,73.322215,216,1
Panch Mahals,22.772915,73.60953,123,1
Panchkula,30.722619,76.880191,387,0
Panipat,29.387951,76.968552,236,1
Panna,24.719464,80.189266,410,0
Papum Pare,27.101465,93.597901,372,0
Parbhani,19.268358,76.777025,418,0
Paschim Medinapur,22.42833,87.323882,44,2
Paschim Champaran,26.804014,84.510335,78,2
Patan,23.845103,72.111466,81,2
Pathanamthitta,9.294782,76.75528,77,2
Patiala,30.317367,76.407038,252,1
Patna,25.603125,85.119195,57,2
Perambalur,11.243109,78.866417,132,1
Phek,25.701797,94.465739,1323,0
Pilibhit,28.634994,79.812128,188,1
Pithoragarh,29.583696,80.203698,1578,0
Pondicherry,11.935363,79.83229,6,2
Porbandar,21.636581,69.59674,0,2
Prakasam,15.514451,80.048738,12,2
Pratapgarh,25.93741,81.995137,94,2
Pudukkottai,10.383944,78.81216,99,2
Punch,33.773791,74.081247,1009,0
Pune,18.525994,73.862602,556,0
Purba Champaran,26.653574,84.925161,69,2
Purba Medinapur,22.301044,87.919817,6,2
East Singbhum,22.799522,86.197389,159,1
Puri,19.79549,85.838807,4,2
Purnia,25.777226,87.47066,41,2
Puruliya,23.332193,86.366718,246,1
Rae Bareli,26.231689,81.230631,114,1
Raichur,16.207752,77.358779,406,0
Raigarh,21.908949,83.395958,222,1
Raigarh,18.646539,72.875994,4,2
Raipur,21.227374,81.629069,295,1
Raisen,23.33011,77.780588,451,0
Rajgarh,24.005868,76.739744,378,0
Rajkot,22.295207,70.805355,133,1
Rajnandgaon,21.089426,81.034625,304,0
Rajsamand,25.075336,73.860393,565,0
Ramanathapuram,9.363516,78.840969,9,2
Rampur,28.791807,79.029148,191,1
Ranchi,23.363068,85.340321,635,0
Ratlam,23.327034,75.040755,484,0
Ratnagiri,16.990597,73.297537,21,2
Rayagada,19.165286,83.412105,223,1
Rewa,24.540725,81.288305,300,0
Rewari,28.198138,76.615433,247,1
Ri Bhoi,25.915944,91.88132,589,0
Rohtak,28.888214,76.587935,223,1
Rohtas,24.92088,84.039698,154,1
Rudraprayag,30.29541,78.986665,817,0
Rupnagar,30.964466,76.526375,275,1
Sabar Kantha,23.605115,72.96492,142,1
Sagar,23.837188,78.749867,530,0
Saharanpur,29.965049,77.553476,277,1
Saharsa,25.872235,86.59889,45,2
Sahibganj,25.244524,87.632966,44,2
Saiha,22.513447,92.979389,733,0
Salem,11.65821,78.152968,284,1
Samastipur,25.846512,85.779185,49,2
Sambalpur,21.466623,83.986047,159,1
Sangli,16.860757,74.57878,553,0
Sangrur,30.241479,75.841924,237,1
Sant Kabir Nagar,26.778133,83.086966,80,2
Sant Ravidas Nagar,25.335702,82.46387,88,2
Saraikela,22.715002,85.939556,183,1
Saran,25.777293,84.751385,56,2
Satara,17.690393,74.010744,689,0
Satna,24.566488,80.833433,318,0
Sawai Madhopur,25.987844,76.381194,318,0
Sehore,23.206208,77.085006,499,0
Senapati,25.302888,94.048471,1163,0
Seoni,22.088143,79.548337,617,0
Serchhip,23.3256,92.864991,798,0
Shahdol,23.294345,81.360684,464,0
Shahjahanpur,27.871092,79.908609,153,1
Shajapur,23.423091,76.280682,445,0
Sheikhpura,25.147495,85.839471,48,2
Sheohar,26.514445,85.29636,66,2
Sheopur,25.676035,76.698332,229,1
Shimla,31.10003,77.171181,2056,0
Shimoga,13.930893,75.576068,582,0
Shivpuri,25.42602,77.653283,468,0
Shrawasti,27.700545,81.931928,121,1
Sibsagar,26.984297,94.639508,95,2
Siddharthnagar,27.246253,83.066141,87,2
Sidhi,24.409558,81.883792,278,1
Sikar,27.610617,75.147048,433,0
Simdega,22.615172,84.502538,432,0
Sindhudurg,16.107985,73.714977,28,2
Sirmaur,30.525617,77.230732,438,0
Sirohi,24.89138,72.857774,317,0
Sirsa,29.531177,75.026343,203,1
Sitamarhi,26.59391,85.496766,68,2
Sitapur,27.563585,80.686343,139,1
Sivaganga,9.860311,78.481581,102,1
Siwan,26.22132,84.361494,67,2
Solan,30.910522,77.108405,1499,0
Solapur,17.672099,75.907906,471,0
Sonbhadra,24.687697,83.069029,315,0
Sonipat,28.979449,77.024728,222,1
Sonitpur,26.623221,92.791733,72,2
South,27.163151,88.359601,1274,0
South 24 Parganas,22.484754,88.265534,6,2
South Garo Hills,25.200104,90.645557,64,2
South Goa,15.304936,73.959411,31,2
South Tripura,23.53045,91.485363,26,2
Srikakulam,18.296866,83.891833,12,2
Srinagar,34.083627,74.810746,1587,0
Sultanpur,26.262349,82.073784,96,2
Sundargarh,22.128217,84.048498,236,1
Supaul,26.246247,86.644513,58,2
Surat,21.205128,72.847119,15,2
Surendranagar,22.732978,71.614645,75,2
Surguja,23.118939,83.207362,607,0
Tamenglong,24.996325,93.502375,1030,0
Tawang,27.587899,91.885444,2605,0
Tehri Garhwal,30.376102,78.498598,982,0
Thane,19.205931,72.971198,18,2
Thanjavur,10.785111,79.138403,55,2
The Dangs,20.756817,73.689483,436,0
The Nilgiris,11.415521,76.705867,2300,0
Theni,9.999588,77.464364,301,0
Thiruvallur,13.153773,79.915219,39,2
Thiruvananthapuram,8.490191,76.917805,10,2
Thiruvarur,10.780886,79.626455,13,2
Thoothukkudi,8.810166,78.148882,7,2
Thoubal,24.637889,94.006052,778,0
Thrissur,10.522671,76.21865,13,2
Tikamgarh,24.743252,78.831962,355,0
Tinsukia,27.49208,95.370027,124,1
Tirap,26.991189,95.50663,841,0
Tiruchirapalli,10.82225,78.681043,74,2
Tirunelveli,8.730059,77.692464,43,2
Tiruvannamalai,12.233386,79.07432,209,1
Tonk,26.171361,75.788097,280,1
Tuensang,26.229854,94.814512,1508,0
Tumkur,13.353655,77.096527,812,0
Udaipur,24.585424,73.686924,590,0
Udham Singh Nagar,28.966203,79.396914,211,1
Udhampur,32.91258,75.108491,680,0
Udupi,13.359567,74.759237,26,2
Ujjain,23.185696,75.779601,492,0
Ukhrul,25.091234,94.363891,1731,0
Umaria,23.525654,80.837774,456,0
Una,31.46426,76.268458,375,0
Unnao,26.545632,80.489814,128,1
Upper Siang,28.613345,95.066152,898,0
Upper Subansiri,28.029687,94.216858,720,0
Uttar Dinajpur,25.609131,88.125952,35,2
Uttara Kannada,14.804209,74.131214,47,2
Uttarkashi,30.715986,78.430542,1466,0
Vadodara,22.287726,73.206027,36,2
Vaishali,25.676599,85.219298,53,2
Valsad,20.631227,72.933378,8,2
Varanasi,25.325043,82.975165,80,2
Vellore,12.909641,79.139241,255,1
Vidisha,23.531456,77.812138,424,0
Viluppuram,11.936979,79.487333,47,2
Virudhunagar,9.594003,77.952743,101,1
Visakhapatnam,17.724253,83.305865,29,2
Vizianagaram,18.124612,83.406912,66,2
Warangal,18.030289,79.57543,255,1
Wardha,20.735221,78.604456,281,1
Washim,20.108935,77.142117,550,0
Wayanad,11.606117,76.088347,812,0
West Sikkim,27.290085,88.244703,1442,0
West Garo Hills,25.505214,90.280827,957,0
West Godavari,16.719836,81.100761,18,2
West Kameng,27.264281,92.425854,2468,0
West Khasi Hills,25.518083,91.269445,1361,0
West Nimar,21.825248,75.61635,255,1
West Siang,28.168599,94.80047,266,1
West Tripura,23.827795,91.274175,17,2
Wokha,26.0917,94.258877,1383,0
Yamunanagar,30.30369,77.307789,304,0
Yanam,16.734771,82.213971,7,2
Yavatmal,20.3876,78.131472,452,0
Zunheboto,26.009562,94.521241,1639,0
Rangareddi,17.3891,77.8367,602,0
Vishakhapatnam,17.724,82.7347,113,1
Golapara,26.0876,90.5636,49,2
Bastar,19.1071,81.9535,544,0
Badgam,33.9349,74.64,2098,0
Doda,33.0469,75.6208,1472,0
Kargil,34.262,76.2711,4815,0
Kupwara,34.4319,74.124,1984,0
Pulwama,33.9819,75.0144,2030,0
Rajauri,33.3717,74.3153,950,0
West Singbhum,22.3651,85.4376,358,0
Bangalore Rural,13.2847,77.6078,920,0
Chikmangalur,13.4045,75.6208,1051,0
Davanagere,14.3318,75.9928,604,0
Imphal East,24.7807,93.9674,779,0
Imphal West,24.7828,93.8859,780,0
Aizwal,23.8789,92.8976,627,0
Lawngtlai,22.3114,92.6984,332,0
Sonapur,20.9338,83.8049,122,1
North Sikkim,27.8236,88.5565,3679,0
South Sikkim,27.2858,88.3946,1360,0
Ariyalur,11.2399,79.2902,80,2
Bulandshahar,28.4215,78.0195,202,1
Siddharth Nagar,27.2716,82.821,89,2
Burdwan,23.4595,87.6186,67,2
Cooch Behar,26.3234,89.3227,48,2
South Dinajpur,25.3715,88.5565,29,2
Darjeeling,26.9287,88.3628,1037,0
Howrah,22.5604,88.051,7,2
Hooghly,22.8963,88.2461,9,2
Malda,25.1786,88.2461,35,2
Midnapore,22.408,87.3811,27,2
Purulia,23.3322,86.3616,247,1
North Dinajpur,25.981,88.051,47,2
New Delhi,28.6139,77.209,219,1
Andaman,10.7449,92.5,51,2
Nicobar,7.1205,93.7842,157,1
Mahe,11.7003,75.5425,14,2
Sikkim,27.3516,88.3239,1299,0
Lakshadweep,10.5667,72.6417,7,2
Goa,15.2993,74.124,97,2
